iter	Passed	Remaining
0	0	84
1	1	81
2	2	76
3	3	74
4	3	72
5	4	69
6	5	67
7	5	64
8	6	62
9	7	63
10	7	61
11	8	59
12	8	58
13	9	57
14	9	55
15	10	54
16	10	53
17	11	52
18	12	51
19	12	51
20	13	50
21	14	49
22	14	49
23	15	48
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	44
30	19	43
31	20	43
32	21	42
33	21	42
34	22	41
35	23	41
36	23	40
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	27
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	63	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
