iter	Passed	Remaining
0	171	171000
1	175	87369
2	177	59033
3	179	44799
4	182	36261
5	184	30592
6	188	26674
7	190	23656
8	193	21281
9	195	19401
10	198	17882
11	201	16587
12	204	15495
13	206	14562
14	208	13707
15	211	12978
16	213	12350
17	216	11787
18	218	11276
19	221	10829
20	223	10414
21	225	10045
22	228	9708
23	231	9398
24	233	9121
25	236	8856
26	238	8594
27	240	8356
28	242	8129
29	244	7911
30	246	7704
31	248	7509
32	249	7309
33	250	7126
34	251	6947
35	253	6776
36	254	6622
37	255	6468
38	256	6328
39	258	6192
40	259	6060
41	260	5934
42	261	5811
43	262	5692
44	263	5582
45	263	5474
46	264	5369
47	265	5270
48	266	5176
49	267	5083
50	268	4995
51	269	4909
52	270	4825
53	270	4746
54	271	4669
55	272	4595
56	273	4523
57	274	4455
58	275	4389
59	275	4322
60	276	4261
61	277	4199
62	278	4142
63	279	4085
64	280	4030
65	280	3975
66	281	3923
67	282	3873
68	283	3825
69	284	3777
70	285	3731
71	286	3686
72	286	3643
73	287	3599
74	288	3558
75	289	3518
76	290	3478
77	291	3440
78	291	3401
79	292	3365
80	293	3329
81	294	3296
82	294	3258
83	295	3226
84	296	3196
85	297	3166
86	298	3135
87	299	3105
88	300	3075
89	301	3047
90	302	3019
91	303	2991
92	303	2964
93	304	2937
94	305	2911
95	306	2885
96	307	2861
97	308	2836
98	309	2812
99	310	2792
100	311	2770
101	312	2749
102	313	2727
103	314	2706
104	314	2684
105	315	2663
106	316	2642
107	317	2622
108	318	2603
109	319	2584
110	320	2565
111	321	2545
112	321	2526
113	322	2508
114	323	2490
115	324	2472
116	325	2453
117	325	2436
118	326	2420
119	327	2403
120	328	2387
121	329	2369
122	330	2353
123	330	2337
124	331	2321
125	332	2306
126	333	2290
127	334	2275
128	334	2260
129	335	2246
130	336	2231
131	337	2218
132	338	2204
133	339	2190
134	339	2177
135	340	2163
136	341	2151
137	342	2137
138	343	2125
139	343	2112
140	344	2100
141	345	2086
142	346	2074
143	346	2062
144	347	2051
145	348	2039
146	349	2028
147	350	2017
148	351	2006
149	352	1996
150	353	1986
151	354	1976
152	355	1966
153	355	1955
154	356	1945
155	357	1935
156	358	1925
157	359	1915
158	360	1905
159	361	1895
160	361	1884
161	362	1874
162	363	1864
163	363	1855
164	364	1845
165	365	1837
166	366	1828
167	367	1819
168	368	1811
169	369	1802
170	370	1794
171	371	1786
172	371	1778
173	372	1770
174	373	1762
175	374	1754
176	375	1746
177	376	1738
178	377	1730
179	377	1721
180	378	1714
181	379	1706
182	380	1698
183	381	1691
184	382	1683
185	383	1676
186	383	1668
187	384	1662
188	385	1654
189	386	1647
190	387	1640
191	388	1633
192	388	1626
193	389	1619
194	390	1612
195	391	1606
196	392	1599
197	393	1592
198	394	1586
199	394	1579
200	395	1573
201	396	1567
202	397	1561
203	398	1555
204	399	1549
205	400	1543
206	401	1537
207	402	1531
208	403	1525
209	403	1519
210	404	1513
211	405	1507
212	406	1502
213	407	1496
214	408	1490
215	409	1484
216	410	1479
217	410	1474
218	411	1468
219	412	1463
220	413	1458
221	414	1452
222	415	1446
223	416	1441
224	417	1436
225	417	1431
226	418	1425
227	419	1419
228	420	1414
229	420	1409
230	421	1404
231	422	1399
232	423	1394
233	424	1389
234	425	1384
235	426	1379
236	426	1374
237	427	1368
238	428	1364
239	429	1358
240	430	1354
241	430	1349
242	431	1344
243	432	1340
244	433	1335
245	434	1330
246	434	1325
247	435	1321
248	436	1316
249	437	1311
250	438	1307
251	439	1303
252	439	1298
253	440	1294
254	441	1290
255	442	1286
256	443	1281
257	444	1277
258	444	1272
259	445	1268
260	446	1264
261	447	1260
262	448	1256
263	449	1252
264	449	1247
265	450	1243
266	451	1239
267	452	1235
268	453	1232
269	454	1228
270	455	1224
271	455	1220
272	456	1216
273	457	1212
274	458	1208
275	459	1204
276	460	1200
277	460	1196
278	461	1193
279	462	1189
280	463	1186
281	464	1182
282	465	1178
283	466	1175
284	466	1171
285	467	1168
286	468	1164
287	469	1161
288	470	1157
289	471	1154
290	472	1150
291	473	1146
292	473	1143
293	474	1139
294	475	1136
295	476	1132
296	476	1129
297	477	1125
298	478	1122
299	479	1118
300	480	1115
301	481	1112
302	482	1109
303	483	1106
304	484	1103
305	485	1100
306	486	1097
307	486	1094
308	487	1091
309	488	1088
310	489	1085
311	490	1081
312	491	1078
313	492	1075
314	493	1072
315	494	1069
316	494	1066
317	495	1063
318	496	1060
319	498	1058
320	498	1055
321	499	1052
322	500	1050
323	501	1047
324	502	1044
325	503	1041
326	504	1038
327	505	1035
328	506	1032
329	507	1029
330	508	1026
331	508	1024
332	509	1020
333	510	1018
334	511	1015
335	512	1013
336	513	1010
337	514	1007
338	515	1004
339	516	1001
340	517	999
341	517	996
342	518	993
343	519	991
344	520	988
345	521	986
346	522	983
347	523	980
348	524	977
349	525	975
350	525	972
351	526	970
352	527	967
353	528	964
354	529	962
355	530	959
356	531	956
357	532	954
358	532	951
359	533	948
360	534	946
361	535	944
362	536	941
363	537	939
364	538	936
365	539	934
366	540	932
367	541	929
368	542	927
369	543	924
370	544	922
371	544	919
372	545	917
373	546	914
374	547	912
375	548	909
376	549	907
377	549	904
378	550	902
379	551	899
380	552	897
381	553	895
382	554	892
383	555	890
384	555	888
385	556	885
386	557	883
387	558	881
388	559	878
389	560	876
390	561	874
391	561	871
392	562	869
393	563	866
394	564	864
395	565	862
396	566	859
397	566	857
398	567	855
399	568	853
400	569	850
401	570	848
